date,ticker,price
2025-08-01,IBM,149.26987161572802
2025-08-02,IBM,148.35065288209017
2025-08-03,IBM,148.43138297725292
2025-08-04,IBM,149.2502885466395
2025-08-05,IBM,149.81220897182814
2025-08-06,IBM,148.74682719148595
2025-08-07,IBM,148.16319652462337
2025-08-08,IBM,150.10855943822713
2025-08-09,IBM,150.0490213598652
2025-08-10,IBM,149.684267089077
2025-08-11,IBM,149.39489780534242
2025-08-12,IBM,148.95583351991112
2025-08-13,IBM,148.78626842323524
2025-08-14,IBM,148.17187855393928
2025-08-15,IBM,148.29480126642926
2025-08-16,IBM,147.27751293429534
2025-08-17,IBM,148.71302660349207
2025-08-18,IBM,148.32565414647578
2025-08-19,IBM,148.88244926476753
2025-08-20,IBM,151.27462522115636
